fold,model,n,log_loss,brier,accuracy,ece
1011,MARKET,380,1.0114,0.6066,0.5079,0.0299
1011,base_rate,380,1.0599,0.6392,0.4711,0.0024
1011,dc_goals_hl365,380,1.0192,0.6113,0.4921,0.0395
1011,dc_goals_hl730,380,1.0201,0.6117,0.4921,0.0424
1011,dc_goals_hl1460,380,1.0218,0.6126,0.4895,0.0406
1011,dc_shots_hl365,380,1.0453,0.6236,0.4895,0.0533
1011,dc_shots_hl730,380,1.0428,0.6222,0.4895,0.048
1112,MARKET,380,0.9837,0.5851,0.5211,0.0182
1112,base_rate,380,1.0698,0.6467,0.45,0.0162
1112,dc_goals_hl365,380,1.0068,0.6001,0.5105,0.0263
1112,dc_goals_hl730,380,1.0152,0.606,0.5132,0.0315
1112,dc_goals_hl1460,380,1.0209,0.6101,0.4895,0.0267
1112,dc_shots_hl365,380,1.0235,0.6122,0.4947,0.0301
1112,dc_shots_hl730,380,1.0266,0.6149,0.4842,0.0394
1213,MARKET,380,0.9638,0.5722,0.5289,0.0382
1213,base_rate,380,1.0782,0.6526,0.4368,0.0233
1213,dc_goals_hl365,380,0.962,0.5715,0.5211,0.0187
1213,dc_goals_hl730,380,0.9657,0.5735,0.5316,0.0288
1213,dc_goals_hl1460,380,0.9729,0.5781,0.5211,0.0214
1213,dc_shots_hl365,380,1.0143,0.6012,0.5237,0.0453
1213,dc_shots_hl730,380,1.0163,0.6029,0.5184,0.0448
1314,MARKET,380,0.9298,0.5444,0.6,0.0464
1314,base_rate,380,1.0558,0.637,0.4711,0.0016
1314,dc_goals_hl365,380,0.9465,0.5569,0.5789,0.0377
1314,dc_goals_hl730,380,0.9495,0.5587,0.5711,0.0414
1314,dc_goals_hl1460,380,0.952,0.5601,0.5658,0.0391
1314,dc_shots_hl365,380,0.9427,0.5547,0.5789,0.0276
1314,dc_shots_hl730,380,0.9468,0.5575,0.5763,0.0284
1415,MARKET,380,0.9707,0.5742,0.5316,0.0228
1415,base_rate,380,1.0668,0.6448,0.4526,0.0108
1415,dc_goals_hl365,380,0.9778,0.5793,0.5342,0.0259
1415,dc_goals_hl730,380,0.9774,0.5799,0.5368,0.0209
1415,dc_goals_hl1460,380,0.9801,0.5826,0.5421,0.0205
1415,dc_shots_hl365,380,1.0035,0.5966,0.5132,0.0271
1415,dc_shots_hl730,380,1.0032,0.5959,0.5237,0.027
1516,MARKET,380,1.034,0.6196,0.4763,0.0428
1516,base_rate,380,1.0903,0.6613,0.4132,0.0363
1516,dc_goals_hl365,380,1.0627,0.641,0.4474,0.0621
1516,dc_goals_hl730,380,1.0647,0.6421,0.4474,0.0537
1516,dc_goals_hl1460,380,1.0725,0.6468,0.4421,0.057
1516,dc_shots_hl365,380,1.0654,0.6421,0.4526,0.0549
1516,dc_shots_hl730,380,1.0694,0.6443,0.4421,0.0585
1617,MARKET,380,0.9061,0.5319,0.6079,0.0394
1617,base_rate,380,1.0443,0.6288,0.4921,0.0189
1617,dc_goals_hl365,380,0.9516,0.5646,0.5842,0.0416
1617,dc_goals_hl730,380,0.9434,0.5587,0.5868,0.0563
1617,dc_goals_hl1460,380,0.9382,0.5548,0.5842,0.0466
1617,dc_shots_hl365,380,0.9627,0.5691,0.5974,0.0731
1617,dc_shots_hl730,380,0.9584,0.5651,0.6,0.0745
1718,MARKET,380,0.9446,0.5594,0.55,0.0227
1718,base_rate,380,1.0664,0.6442,0.4553,0.0069
1718,dc_goals_hl365,380,0.9683,0.5754,0.5316,0.0337
1718,dc_goals_hl730,380,0.9694,0.5756,0.5368,0.0263
1718,dc_goals_hl1460,380,0.974,0.5782,0.5421,0.0288
1718,dc_shots_hl365,380,0.988,0.5882,0.5026,0.0321
1718,dc_shots_hl730,380,0.9897,0.5887,0.5105,0.0329
1819,MARKET,380,0.8925,0.5218,0.5842,0.0264
1819,base_rate,380,1.0487,0.6327,0.4763,0.0076
1819,dc_goals_hl365,380,0.9158,0.5349,0.5789,0.0275
1819,dc_goals_hl730,380,0.9204,0.5392,0.5763,0.035
1819,dc_goals_hl1460,380,0.9279,0.5449,0.5816,0.0291
1819,dc_shots_hl365,380,0.9337,0.5493,0.5974,0.0566
1819,dc_shots_hl730,380,0.9394,0.5534,0.5974,0.0563
1920,MARKET,380,0.9722,0.5747,0.5263,0.0126
1920,base_rate,380,1.0656,0.644,0.4526,0.0087
1920,dc_goals_hl365,380,0.9772,0.5819,0.5184,0.0241
1920,dc_goals_hl730,380,0.9829,0.5855,0.5132,0.0286
1920,dc_goals_hl1460,380,0.9918,0.5913,0.5211,0.0136
1920,dc_shots_hl365,380,0.9918,0.5898,0.5079,0.0296
1920,dc_shots_hl730,380,0.9947,0.5918,0.5105,0.0317
2021,MARKET,380,1.0059,0.5978,0.5132,0.0265
2021,base_rate,380,1.0985,0.6689,0.3789,0.0573
2021,dc_goals_hl365,380,1.0458,0.6227,0.5053,0.0405
2021,dc_goals_hl730,380,1.0463,0.6248,0.4895,0.0426
2021,dc_goals_hl1460,380,1.0397,0.6219,0.4895,0.0246
2021,dc_shots_hl365,380,1.0199,0.6105,0.5079,0.0227
2021,dc_shots_hl730,380,1.0259,0.6148,0.5053,0.0112
2122,MARKET,380,0.9363,0.5538,0.5789,0.0284
2122,base_rate,380,1.0741,0.6508,0.4289,0.021
2122,dc_goals_hl365,380,0.961,0.571,0.5289,0.026
2122,dc_goals_hl730,380,0.9583,0.5687,0.5211,0.0212
2122,dc_goals_hl1460,380,0.9631,0.5714,0.5316,0.026
2122,dc_shots_hl365,380,0.9824,0.5841,0.5184,0.038
2122,dc_shots_hl730,380,0.9779,0.5806,0.5263,0.0337
2223,MARKET,380,0.9663,0.574,0.5579,0.0283
2223,base_rate,380,1.0484,0.6319,0.4842,0.0169
2223,dc_goals_hl365,380,1.0324,0.618,0.5,0.0405
2223,dc_goals_hl730,380,1.0266,0.6148,0.4947,0.0275
2223,dc_goals_hl1460,380,1.0192,0.6096,0.5053,0.0201
2223,dc_shots_hl365,380,1.0306,0.6179,0.5132,0.0313
2223,dc_shots_hl730,380,1.0237,0.614,0.5,0.0148
2324,MARKET,380,0.9085,0.5326,0.5895,0.0274
2324,base_rate,380,1.0567,0.6385,0.4605,0.0003
2324,dc_goals_hl365,380,0.9269,0.5462,0.5737,0.0235
2324,dc_goals_hl730,380,0.9308,0.5481,0.5579,0.0298
2324,dc_goals_hl1460,380,0.9383,0.5521,0.5579,0.0281
2324,dc_shots_hl365,380,0.9462,0.5579,0.5789,0.0501
2324,dc_shots_hl730,380,0.9478,0.5587,0.5658,0.0519
2425,MARKET,380,0.9703,0.5788,0.5395,0.018
2425,base_rate,380,1.0851,0.6586,0.4079,0.0348
2425,dc_goals_hl365,380,1.0118,0.6068,0.5026,0.0262
2425,dc_goals_hl730,380,1.0307,0.62,0.4895,0.0314
2425,dc_goals_hl1460,380,1.0494,0.6325,0.4579,0.0397
2425,dc_shots_hl365,380,1.0268,0.6168,0.4684,0.0163
2425,dc_shots_hl730,380,1.0373,0.6242,0.4605,0.0181
2526,MARKET,380,1.0173,0.611,0.4921,0.0337
2526,base_rate,380,1.082,0.6552,0.4263,0.021
2526,dc_goals_hl365,380,1.0533,0.6354,0.4658,0.0499
2526,dc_goals_hl730,380,1.0461,0.6306,0.4658,0.0379
2526,dc_goals_hl1460,380,1.0459,0.6302,0.4684,0.0366
2526,dc_shots_hl365,380,1.0488,0.6317,0.4789,0.0235
2526,dc_shots_hl730,380,1.0518,0.6326,0.4737,0.0295
