fold,model,n,log_loss,brier,accuracy,ece
1011,MARKET,380,0.9292,0.5457,0.6105,0.0516
1011,base_rate,380,1.0282,0.6173,0.5184,0.031
1011,dc_goals_hl365,380,0.9479,0.5587,0.5816,0.0366
1011,dc_goals_hl730,380,0.948,0.5588,0.5842,0.0521
1011,dc_goals_hl1460,380,0.9492,0.5598,0.5842,0.0588
1011,dc_shots_hl365,380,0.9525,0.5615,0.5895,0.0533
1011,dc_shots_hl730,380,0.9581,0.5658,0.5921,0.0664
1112,MARKET,380,0.9468,0.5631,0.5368,0.0223
1112,base_rate,380,1.0441,0.6281,0.4947,0.0117
1112,dc_goals_hl365,380,0.9558,0.5679,0.5447,0.0195
1112,dc_goals_hl730,380,0.9619,0.5715,0.5421,0.0287
1112,dc_goals_hl1460,380,0.9669,0.5743,0.5342,0.0229
1112,dc_shots_hl365,380,0.981,0.5834,0.5263,0.0256
1112,dc_shots_hl730,380,0.9841,0.5856,0.5395,0.0269
1213,MARKET,380,0.9412,0.5558,0.5474,0.0224
1213,base_rate,380,1.0398,0.6256,0.4974,0.0123
1213,dc_goals_hl365,380,0.9416,0.5582,0.5553,0.0219
1213,dc_goals_hl730,380,0.9476,0.5616,0.5553,0.0136
1213,dc_goals_hl1460,380,0.9545,0.5656,0.5395,0.0159
1213,dc_shots_hl365,380,0.9627,0.5713,0.5447,0.0309
1213,dc_shots_hl730,380,0.9696,0.5756,0.5421,0.0338
1314,MARKET,380,0.9559,0.5645,0.5342,0.0192
1314,base_rate,380,1.0549,0.6366,0.4711,0.0064
1314,dc_goals_hl365,380,0.9721,0.5785,0.5237,0.0295
1314,dc_goals_hl730,380,0.97,0.5771,0.5211,0.021
1314,dc_goals_hl1460,380,0.9711,0.578,0.5237,0.0205
1314,dc_shots_hl365,380,0.9828,0.5832,0.5184,0.0447
1314,dc_shots_hl730,380,0.9818,0.5827,0.5158,0.0355
1415,MARKET,380,0.9012,0.5294,0.5658,0.0234
1415,base_rate,380,1.0678,0.6458,0.45,0.0199
1415,dc_goals_hl365,380,0.918,0.5404,0.5632,0.0225
1415,dc_goals_hl730,380,0.9193,0.5408,0.5605,0.0205
1415,dc_goals_hl1460,380,0.9232,0.5431,0.5658,0.0252
1415,dc_shots_hl365,380,0.9395,0.5535,0.5789,0.0472
1415,dc_shots_hl730,380,0.9427,0.555,0.5737,0.0561
1516,MARKET,380,0.9272,0.5498,0.5474,0.0198
1516,base_rate,380,1.0507,0.6331,0.4816,0.0027
1516,dc_goals_hl365,380,0.9491,0.5656,0.5263,0.0359
1516,dc_goals_hl730,380,0.9475,0.5636,0.5289,0.0367
1516,dc_goals_hl1460,380,0.9501,0.5645,0.5263,0.0312
1516,dc_shots_hl365,380,0.9583,0.5664,0.5211,0.0398
1516,dc_shots_hl730,380,0.9598,0.5676,0.5263,0.0483
1617,MARKET,380,0.9042,0.5327,0.5895,0.0196
1617,base_rate,380,1.0525,0.6347,0.4763,0.001
1617,dc_goals_hl365,380,0.923,0.546,0.5711,0.0085
1617,dc_goals_hl730,380,0.9263,0.5477,0.5711,0.0209
1617,dc_goals_hl1460,380,0.9325,0.5514,0.5658,0.031
1617,dc_shots_hl365,380,0.9498,0.5605,0.5737,0.0422
1617,dc_shots_hl730,380,0.951,0.5617,0.5632,0.0434
1718,MARKET,380,0.9598,0.5702,0.55,0.0233
1718,base_rate,380,1.0541,0.6361,0.4711,0.0044
1718,dc_goals_hl365,380,1.0077,0.6012,0.5079,0.0304
1718,dc_goals_hl730,380,0.996,0.5942,0.5158,0.0234
1718,dc_goals_hl1460,380,0.9866,0.5885,0.5395,0.0242
1718,dc_shots_hl365,380,1.025,0.6145,0.5026,0.0268
1718,dc_shots_hl730,380,1.0112,0.6054,0.5184,0.0253
1819,MARKET,380,1.009,0.6019,0.4895,0.018
1819,base_rate,380,1.0788,0.6524,0.4421,0.0234
1819,dc_goals_hl365,380,1.017,0.6091,0.4921,0.0375
1819,dc_goals_hl730,380,1.0201,0.6109,0.4868,0.045
1819,dc_goals_hl1460,380,1.0194,0.61,0.4868,0.049
1819,dc_shots_hl365,380,1.0245,0.6135,0.4737,0.0375
1819,dc_shots_hl730,380,1.0262,0.6145,0.4737,0.0438
1920,MARKET,380,0.9806,0.5862,0.5105,0.013
1920,base_rate,380,1.0679,0.6449,0.4579,0.0115
1920,dc_goals_hl365,380,1.0313,0.619,0.4868,0.0452
1920,dc_goals_hl730,380,1.0122,0.6067,0.4895,0.0416
1920,dc_goals_hl1460,380,1.0035,0.6007,0.5079,0.0348
1920,dc_shots_hl365,380,1.0154,0.6072,0.4947,0.0252
1920,dc_shots_hl730,380,1.0095,0.603,0.5026,0.0265
2021,MARKET,380,0.9836,0.5844,0.5395,0.0221
2021,base_rate,380,1.0912,0.6618,0.4158,0.039
2021,dc_goals_hl365,380,1.0001,0.5964,0.5053,0.0226
2021,dc_goals_hl730,380,0.9985,0.5948,0.5026,0.0246
2021,dc_goals_hl1460,380,1.0018,0.5966,0.4974,0.033
2021,dc_shots_hl365,380,1.0253,0.6123,0.4868,0.028
2021,dc_shots_hl730,380,1.0188,0.608,0.4947,0.0339
2122,MARKET,380,0.9859,0.5871,0.5211,0.0376
2122,base_rate,380,1.0815,0.6546,0.4342,0.0246
2122,dc_goals_hl365,380,1.0017,0.5981,0.5184,0.0192
2122,dc_goals_hl730,380,1.0078,0.6009,0.5105,0.0239
2122,dc_goals_hl1460,380,1.0125,0.6035,0.5079,0.027
2122,dc_shots_hl365,380,1.0053,0.6016,0.5132,0.0459
2122,dc_shots_hl730,380,1.0055,0.6012,0.4947,0.0404
2223,MARKET,380,0.9797,0.5831,0.5395,0.0313
2223,base_rate,380,1.0515,0.6339,0.4789,0.0064
2223,dc_goals_hl365,380,0.993,0.591,0.55,0.0346
2223,dc_goals_hl730,380,0.9882,0.5882,0.55,0.0427
2223,dc_goals_hl1460,380,0.9866,0.5875,0.5553,0.0316
2223,dc_shots_hl365,380,0.9869,0.5876,0.55,0.0425
2223,dc_shots_hl730,380,0.9853,0.5868,0.5579,0.041
2324,MARKET,380,0.9488,0.5641,0.5553,0.0278
2324,base_rate,380,1.0773,0.6517,0.4395,0.0202
2324,dc_goals_hl365,380,0.9737,0.5795,0.5184,0.0252
2324,dc_goals_hl730,380,0.9717,0.5778,0.5237,0.0266
2324,dc_goals_hl1460,380,0.9706,0.5769,0.5368,0.0387
2324,dc_shots_hl365,380,1.0008,0.5934,0.5289,0.0355
2324,dc_shots_hl730,380,0.992,0.5889,0.5289,0.0464
2425,MARKET,380,0.9524,0.5635,0.5474,0.0269
2425,base_rate,380,1.0714,0.648,0.4447,0.0158
2425,dc_goals_hl365,380,0.9828,0.5844,0.5342,0.0374
2425,dc_goals_hl730,380,0.9824,0.5842,0.5289,0.0287
2425,dc_goals_hl1460,380,0.9839,0.5854,0.5132,0.0234
2425,dc_shots_hl365,380,1.0024,0.5956,0.5,0.0467
