fold,model,n,log_loss,brier,accuracy,ece
1011,MARKET,380,1.0114,0.6066,0.5079,0.0299
1011,base_rate,380,1.0599,0.6392,0.4711,0.0024
1011,xgb_pit,380,1.0887,0.6501,0.4789,0.0693
1011,xgb_pit_decay,380,1.126,0.6668,0.4526,0.0982
1011,logistic_pit,380,1.0472,0.6263,0.4816,0.0454
1011,strength_only,380,1.0599,0.6341,0.4842,0.0349
1011,market+10%model,380,1.013,0.6075,0.5053,0.0357
1011,market+25%model,380,1.0187,0.611,0.5,0.0416
1112,MARKET,380,0.9837,0.5851,0.5211,0.0182
1112,base_rate,380,1.0698,0.6467,0.45,0.0162
1112,xgb_pit,380,1.0701,0.6352,0.4579,0.0762
1112,xgb_pit_decay,380,1.0815,0.6457,0.4553,0.0959
1112,logistic_pit,380,0.9968,0.5939,0.5158,0.0434
1112,strength_only,380,1.0102,0.6024,0.4974,0.0259
1112,market+10%model,380,0.9842,0.5856,0.5158,0.0174
1112,market+25%model,380,0.9884,0.5887,0.5105,0.0394
1213,MARKET,380,0.9638,0.5722,0.5289,0.0382
1213,base_rate,380,1.0782,0.6526,0.4368,0.0233
1213,xgb_pit,380,1.0467,0.6189,0.4816,0.0463
1213,xgb_pit_decay,380,1.0738,0.64,0.4789,0.074
1213,logistic_pit,380,1.0096,0.6036,0.5132,0.0276
1213,strength_only,380,1.0281,0.6161,0.4868,0.0365
1213,market+10%model,380,0.9665,0.5739,0.5263,0.0364
1213,market+25%model,380,0.9734,0.5786,0.5132,0.0341
1314,MARKET,380,0.9298,0.5444,0.6,0.0464
1314,base_rate,380,1.0558,0.637,0.4711,0.0016
1314,xgb_pit,380,0.9828,0.5776,0.5553,0.0393
1314,xgb_pit_decay,380,0.9965,0.5874,0.5526,0.0536
1314,logistic_pit,380,0.9838,0.5777,0.5368,0.0386
1314,strength_only,380,0.9986,0.592,0.5211,0.0348
1314,market+10%model,380,0.9314,0.5456,0.5974,0.037
1314,market+25%model,380,0.9358,0.5487,0.5921,0.0373
1415,MARKET,380,0.9707,0.5742,0.5316,0.0228
1415,base_rate,380,1.0668,0.6448,0.4526,0.0108
1415,xgb_pit,380,1.0197,0.6095,0.4974,0.0627
1415,xgb_pit_decay,380,1.0658,0.64,0.4868,0.0916
1415,logistic_pit,380,1.0087,0.6027,0.5053,0.031
1415,strength_only,380,1.024,0.6126,0.4921,0.0225
1415,market+10%model,380,0.9708,0.5749,0.5263,0.0292
1415,market+25%model,380,0.9747,0.5784,0.5263,0.0303
1516,MARKET,380,1.034,0.6196,0.4763,0.0428
1516,base_rate,380,1.0903,0.6613,0.4132,0.0363
1516,xgb_pit,380,1.0744,0.6466,0.4684,0.0815
1516,xgb_pit_decay,380,1.122,0.6679,0.4658,0.093
1516,logistic_pit,380,1.0398,0.6253,0.4947,0.0498
1516,strength_only,380,1.0557,0.6363,0.4368,0.042
1516,market+10%model,380,1.0305,0.6178,0.4658,0.0416
1516,market+25%model,380,1.0302,0.6178,0.4711,0.0359
1617,MARKET,380,0.9061,0.5319,0.6079,0.0394
1617,base_rate,380,1.0443,0.6288,0.4921,0.0189
1617,xgb_pit,380,0.9337,0.5492,0.6079,0.0411
1617,xgb_pit_decay,380,0.9816,0.5687,0.6,0.0685
1617,logistic_pit,380,0.9321,0.5501,0.5895,0.0436
1617,strength_only,380,0.9598,0.5676,0.5816,0.0489
1617,market+10%model,380,0.9036,0.5303,0.6105,0.041
1617,market+25%model,380,0.9035,0.5301,0.6158,0.0513
1718,MARKET,380,0.9446,0.5594,0.55,0.0227
1718,base_rate,380,1.0664,0.6442,0.4553,0.0069
1718,xgb_pit,380,1.0364,0.6212,0.4895,0.0555
1718,xgb_pit_decay,380,1.0676,0.6346,0.4974,0.073
1718,logistic_pit,380,0.9813,0.5867,0.5289,0.0278
1718,strength_only,380,0.9882,0.5901,0.5211,0.0172
1718,market+10%model,380,0.9461,0.561,0.5474,0.0253
1718,market+25%model,380,0.9524,0.5659,0.55,0.0108
1819,MARKET,380,0.8925,0.5218,0.5842,0.0264
1819,base_rate,380,1.0487,0.6327,0.4763,0.0076
1819,xgb_pit,380,0.9441,0.5613,0.5289,0.0285
1819,xgb_pit_decay,380,0.9754,0.576,0.5526,0.0365
1819,logistic_pit,380,0.9322,0.5511,0.5711,0.0222
1819,strength_only,380,0.9364,0.5528,0.5842,0.0353
1819,market+10%model,380,0.8939,0.5229,0.5921,0.023
1819,market+25%model,380,0.8987,0.5264,0.5947,0.0346
1920,MARKET,380,0.9722,0.5747,0.5263,0.0126
1920,base_rate,380,1.0656,0.644,0.4526,0.0087
1920,xgb_pit,380,1.0321,0.609,0.5026,0.039
1920,xgb_pit_decay,380,1.0958,0.6397,0.4632,0.0738
1920,logistic_pit,380,1.0078,0.5938,0.5184,0.0241
1920,strength_only,380,1.0227,0.6091,0.4974,0.0186
1920,market+10%model,380,0.9763,0.5768,0.5237,0.0132
1920,market+25%model,380,0.9851,0.5818,0.5342,0.0202
2021,MARKET,380,1.0059,0.5978,0.5132,0.0265
2021,base_rate,380,1.0985,0.6689,0.3789,0.0573
2021,xgb_pit,380,1.0727,0.6353,0.4789,0.0476
2021,xgb_pit_decay,380,1.1045,0.6579,0.4474,0.0797
2021,logistic_pit,380,1.0371,0.6179,0.4789,0.0327
2021,strength_only,380,1.0662,0.6376,0.4632,0.0414
2021,market+10%model,380,1.0057,0.5977,0.5158,0.0277
2021,market+25%model,380,1.0095,0.6002,0.4974,0.0217
2122,MARKET,380,0.9363,0.5538,0.5789,0.0284
2122,base_rate,380,1.0741,0.6508,0.4289,0.021
2122,xgb_pit,380,1.0234,0.6048,0.5316,0.0481
2122,xgb_pit_decay,380,1.0684,0.6344,0.4789,0.0749
2122,logistic_pit,380,0.9858,0.5881,0.5553,0.0313
2122,strength_only,380,0.9937,0.5945,0.55,0.0252
2122,market+10%model,380,0.9422,0.5576,0.5816,0.0276
2122,market+25%model,380,0.9534,0.5652,0.5842,0.0257
2223,MARKET,380,0.9663,0.574,0.5579,0.0283
2223,base_rate,380,1.0484,0.6319,0.4842,0.0169
2223,xgb_pit,380,1.0017,0.5932,0.5316,0.0325
2223,xgb_pit_decay,380,1.0392,0.6187,0.4868,0.0589
2223,logistic_pit,380,0.9875,0.588,0.5211,0.0188
2223,strength_only,380,0.9836,0.5874,0.5184,0.0185
2223,market+10%model,380,0.9662,0.5739,0.55,0.017
2223,market+25%model,380,0.969,0.5755,0.5447,0.0146
2324,MARKET,380,0.9085,0.5326,0.5895,0.0274
2324,base_rate,380,1.0567,0.6385,0.4605,0.0003
2324,xgb_pit,380,0.9558,0.5649,0.5711,0.0321
2324,xgb_pit_decay,380,0.9791,0.5788,0.5368,0.0451
2324,logistic_pit,380,0.9458,0.5567,0.5816,0.0233
2324,strength_only,380,0.9651,0.5719,0.5605,0.0386
2324,market+10%model,380,0.9089,0.533,0.5842,0.0306
2324,market+25%model,380,0.9121,0.5353,0.5816,0.0245
2425,MARKET,380,0.9703,0.5788,0.5395,0.018
2425,base_rate,380,1.0851,0.6586,0.4079,0.0348
2425,xgb_pit,380,1.0275,0.6211,0.5,0.057
2425,xgb_pit_decay,380,1.0527,0.6329,0.4974,0.0779
2425,logistic_pit,380,1.0076,0.607,0.4947,0.0264
2425,strength_only,380,1.0145,0.6096,0.5,0.0161
2425,market+10%model,380,0.9718,0.5799,0.5289,0.0158
2425,market+25%model,380,0.9765,0.5833,0.5184,0.0264
2526,MARKET,380,1.0173,0.611,0.4921,0.0337
2526,base_rate,380,1.082,0.6552,0.4263,0.021
2526,xgb_pit,380,1.0591,0.6383,0.4658,0.0449
2526,xgb_pit_decay,380,1.0667,0.6416,0.4579,0.0589
2526,logistic_pit,380,1.0353,0.6241,0.4816,0.0299
2526,strength_only,380,1.048,0.6296,0.4763,0.0147
2526,market+10%model,380,1.016,0.6102,0.4974,0.0382
2526,market+25%model,380,1.0167,0.6106,0.4789,0.0398
