fold,model,n,log_loss,brier,accuracy,ece
1011,MARKET,380,0.9292,0.5457,0.6105,0.0516
1011,base_rate,380,1.0282,0.6173,0.5184,0.031
1011,xgb_pit,380,0.9769,0.5796,0.5316,0.0348
1011,xgb_pit_decay,380,0.9961,0.5905,0.5263,0.0425
1011,logistic_pit,380,0.9547,0.5671,0.5711,0.0358
1011,strength_only,380,0.9863,0.5859,0.5632,0.0399
1011,market+10%model,380,0.9268,0.545,0.6105,0.0545
1011,market+25%model,380,0.9271,0.546,0.6026,0.0585
1112,MARKET,380,0.9468,0.5631,0.5368,0.0223
1112,base_rate,380,1.0441,0.6281,0.4947,0.0117
1112,xgb_pit,380,1.0081,0.5935,0.5263,0.0504
1112,xgb_pit_decay,380,1.0045,0.5942,0.5395,0.0541
1112,logistic_pit,380,0.9819,0.5798,0.5526,0.0225
1112,strength_only,380,0.9797,0.5831,0.5395,0.0204
1112,market+10%model,380,0.9455,0.5621,0.5316,0.0257
1112,market+25%model,380,0.9464,0.5623,0.55,0.0172
1213,MARKET,380,0.9412,0.5558,0.5474,0.0224
1213,base_rate,380,1.0398,0.6256,0.4974,0.0123
1213,xgb_pit,380,1.0069,0.5935,0.5158,0.0476
1213,xgb_pit_decay,380,1.022,0.5979,0.5447,0.0638
1213,logistic_pit,380,0.9704,0.5755,0.5395,0.0314
1213,strength_only,380,0.9831,0.5844,0.5263,0.0215
1213,market+10%model,380,0.9392,0.5546,0.55,0.0185
1213,market+25%model,380,0.94,0.5549,0.55,0.0286
1314,MARKET,380,0.9559,0.5645,0.5342,0.0192
1314,base_rate,380,1.0549,0.6366,0.4711,0.0064
1314,xgb_pit,380,0.9959,0.5886,0.5316,0.0593
1314,xgb_pit_decay,380,1.0214,0.5996,0.5342,0.0615
1314,logistic_pit,380,0.975,0.581,0.5158,0.0339
1314,strength_only,380,0.9813,0.5844,0.5184,0.0076
1314,market+10%model,380,0.9547,0.564,0.5395,0.0153
1314,market+25%model,380,0.9556,0.5648,0.5447,0.0187
1415,MARKET,380,0.9012,0.5294,0.5658,0.0234
1415,base_rate,380,1.0678,0.6458,0.45,0.0199
1415,xgb_pit,380,0.9946,0.585,0.5211,0.0392
1415,xgb_pit_decay,380,1.0194,0.5991,0.5158,0.0516
1415,logistic_pit,380,0.9522,0.5622,0.5421,0.033
1415,strength_only,380,0.9689,0.5752,0.5237,0.0195
1415,market+10%model,380,0.9032,0.5304,0.5684,0.0256
1415,market+25%model,380,0.9099,0.5345,0.5632,0.0145
1516,MARKET,380,0.9272,0.5498,0.5474,0.0198
1516,base_rate,380,1.0507,0.6331,0.4816,0.0027
1516,xgb_pit,380,1.0073,0.5947,0.5184,0.0361
1516,xgb_pit_decay,380,1.0073,0.599,0.5079,0.0464
1516,logistic_pit,380,0.9748,0.5797,0.5289,0.0148
1516,strength_only,380,0.9937,0.5931,0.5158,0.0197
1516,market+10%model,380,0.9265,0.5495,0.5526,0.0258
1516,market+25%model,380,0.9291,0.5511,0.5632,0.0155
1617,MARKET,380,0.9042,0.5327,0.5895,0.0196
1617,base_rate,380,1.0525,0.6347,0.4763,0.001
1617,xgb_pit,380,0.9826,0.5827,0.5289,0.0461
1617,xgb_pit_decay,380,0.9962,0.589,0.5263,0.0616
1617,logistic_pit,380,0.9736,0.5717,0.5553,0.0406
1617,strength_only,380,0.955,0.5651,0.5447,0.026
1617,market+10%model,380,0.9068,0.5342,0.5789,0.0173
1617,market+25%model,380,0.9131,0.5381,0.5816,0.0201
1718,MARKET,380,0.9598,0.5702,0.55,0.0233
1718,base_rate,380,1.0541,0.6361,0.4711,0.0044
1718,xgb_pit,380,1.0357,0.6117,0.5,0.0447
1718,xgb_pit_decay,380,1.0216,0.6063,0.5237,0.0662
1718,logistic_pit,380,0.994,0.5891,0.5211,0.0278
1718,strength_only,380,0.9799,0.5839,0.5289,0.0162
1718,market+10%model,380,0.9579,0.5688,0.5553,0.0212
1718,market+25%model,380,0.958,0.5687,0.5632,0.0114
1819,MARKET,380,1.009,0.6019,0.4895,0.018
1819,base_rate,380,1.0788,0.6524,0.4421,0.0234
1819,xgb_pit,380,1.0593,0.6313,0.4474,0.0458
1819,xgb_pit_decay,380,1.054,0.6242,0.4763,0.0587
1819,logistic_pit,380,1.0461,0.6255,0.4684,0.0427
1819,strength_only,380,1.0543,0.6335,0.45,0.0448
1819,market+10%model,380,1.0058,0.5999,0.4868,0.0326
1819,market+25%model,380,1.0042,0.5987,0.4789,0.0489
1920,MARKET,380,0.9806,0.5862,0.5105,0.013
1920,base_rate,380,1.0679,0.6449,0.4579,0.0115
1920,xgb_pit,380,1.0698,0.6415,0.4342,0.0453
1920,xgb_pit_decay,380,1.1203,0.6648,0.4263,0.0844
1920,logistic_pit,380,1.0295,0.6147,0.4974,0.0251
1920,strength_only,380,1.0258,0.6161,0.4921,0.0199
1920,market+10%model,380,0.9834,0.5879,0.5053,0.0225
1920,market+25%model,380,0.9916,0.5931,0.5,0.0317
2021,MARKET,380,0.9836,0.5844,0.5395,0.0221
2021,base_rate,380,1.0912,0.6618,0.4158,0.039
2021,xgb_pit,380,1.0248,0.6132,0.4737,0.0363
2021,xgb_pit_decay,380,1.0704,0.6429,0.4368,0.0741
2021,logistic_pit,380,1.026,0.6142,0.5,0.0327
2021,strength_only,380,1.0533,0.6344,0.4658,0.0261
2021,market+10%model,380,0.9841,0.5854,0.5395,0.028
2021,market+25%model,380,0.9881,0.5889,0.5263,0.0326
2122,MARKET,380,0.9859,0.5871,0.5211,0.0376
2122,base_rate,380,1.0815,0.6546,0.4342,0.0246
2122,xgb_pit,380,1.0505,0.6248,0.4789,0.0402
2122,xgb_pit_decay,380,1.0912,0.6475,0.4816,0.0745
2122,logistic_pit,380,1.0157,0.6083,0.4895,0.0269
2122,strength_only,380,1.0294,0.6184,0.4737,0.023
2122,market+10%model,380,0.9888,0.5887,0.5237,0.0301
2122,market+25%model,380,0.9959,0.593,0.5211,0.022
2223,MARKET,380,0.9797,0.5831,0.5395,0.0313
2223,base_rate,380,1.0515,0.6339,0.4789,0.0064
2223,xgb_pit,380,1.0085,0.6009,0.5,0.0283
2223,xgb_pit_decay,380,1.0521,0.6268,0.4789,0.0576
2223,logistic_pit,380,0.9997,0.595,0.5053,0.0163
2223,strength_only,380,1.015,0.6075,0.5,0.0209
2223,market+10%model,380,0.9798,0.5834,0.5368,0.031
2223,market+25%model,380,0.9826,0.5856,0.5105,0.0236
2324,MARKET,380,0.9488,0.5641,0.5553,0.0278
2324,base_rate,380,1.0773,0.6517,0.4395,0.0202
2324,xgb_pit,380,0.997,0.5928,0.5,0.0294
2324,xgb_pit_decay,380,1.0084,0.5962,0.5263,0.0413
2324,logistic_pit,380,0.9854,0.588,0.5132,0.0352
2324,strength_only,380,0.9921,0.5911,0.5105,0.0162
2324,market+10%model,380,0.9478,0.5631,0.55,0.0301
