fold,model,n,log_loss,ece
1011,MARKET,380,1.01138958115378,0.029881336364585172
1011,dc_goals,380,1.0191839404703698,0.03946892299055845
1011,dc_shots,380,1.0453365625113686,0.05327084475949198
1011,dc_goals_calibrated,380,1.0272194260557757,0.05417090949445876
1011,dc_goals+shots(wf),380,1.0191839404703698,0.03946892299055845
1011,market+dc(wf),380,1.01138958115378,0.029881336364585172
1011,_w_shots,380,0.0,
1011,_w_market_dc,380,0.0,
1112,MARKET,380,0.9837476660162088,0.018236742989921506
1112,dc_goals,380,1.0067757976426484,0.026306744843340633
1112,dc_shots,380,1.0235432043550827,0.03008513946015296
1112,dc_goals_calibrated,380,1.00288394225748,0.013775315851618035
1112,dc_goals+shots(wf),380,1.0041820431618593,0.020089301227853507
1112,market+dc(wf),380,0.9869327455485789,0.0210688521439551
1112,_w_shots,380,0.2,
1112,_w_market_dc,380,0.3,
1213,MARKET,380,0.9638044477860882,0.03816469984420409
1213,dc_goals,380,0.9620206549258928,0.018663851181567825
1213,dc_shots,380,1.014255421010714,0.04530545814941524
1213,dc_goals_calibrated,380,0.9806420687430164,0.04605951491582387
1213,dc_goals+shots(wf),380,0.9672474541808441,0.033174737804826736
1213,market+dc(wf),380,0.9626255528292151,0.030591790166611732
1213,_w_shots,380,0.2,
1213,_w_market_dc,380,0.1,
1314,MARKET,380,0.9297859543040237,0.04639256174537954
1314,dc_goals,380,0.9464960490370032,0.03770772777012027
1314,dc_shots,380,0.9427375433906201,0.027557129414202883
1314,dc_goals_calibrated,380,0.954277769208164,0.045113107996182865
1314,dc_goals+shots(wf),380,0.9430781473908426,0.03473699410886369
1314,market+dc(wf),380,0.9296801947631346,0.04406455471689901
1314,_w_shots,380,0.1,
1314,_w_market_dc,380,0.2,
1415,MARKET,380,0.9707357082784738,0.022817373588987385
1415,dc_goals,380,0.9778381285602047,0.025933410514655666
1415,dc_shots,380,1.0035066533940966,0.027110177835741708
1415,dc_goals_calibrated,380,0.9802613424757071,0.03541040880069818
1415,dc_goals+shots(wf),380,0.9789895525083744,0.02953019245769461
1415,market+dc(wf),380,0.9700183570067122,0.02162930799748646
1415,_w_shots,380,0.2,
1415,_w_market_dc,380,0.15,
1516,MARKET,380,1.0340119283186668,0.04275371119668593
1516,dc_goals,380,1.0627017854374583,0.062120739009655694
1516,dc_shots,380,1.0653701117234384,0.05492877455762078
1516,dc_goals_calibrated,380,1.063977366960336,0.06390272591460038
1516,dc_goals+shots(wf),380,1.0603413006306166,0.05954367070503746
1516,market+dc(wf),380,1.0347317589598233,0.047955398026403966
1516,_w_shots,380,0.15,
