fold,model,n,log_loss,ece
1011,MARKET,380,0.9292281320976273,0.05162480099330891
1011,dc_goals,380,0.9478703778960061,0.03658807112819477
1011,dc_shots,380,0.9524675705489037,0.053263633756723765
1011,dc_goals_calibrated,380,0.943825164556638,0.021183510269721748
1011,dc_goals+shots(wf),380,0.9478703778960061,0.03658807112819477
1011,market+dc(wf),380,0.9292281320976273,0.05162480099330891
1011,_w_shots,380,0.0,
1011,_w_market_dc,380,0.0,
1112,MARKET,380,0.9467655454226773,0.022326937217130943
1112,dc_goals,380,0.9557815336110779,0.0195091195742732
1112,dc_shots,380,0.9809759278661292,0.025607804398366532
1112,dc_goals_calibrated,380,0.9559777794981001,0.028035108738735885
1112,dc_goals+shots(wf),380,0.9619722327910405,0.025160036349567903
1112,market+dc(wf),380,0.9467655454226773,0.022326937217130943
1112,_w_shots,380,0.35,
1112,_w_market_dc,380,0.0,
1213,MARKET,380,0.9411529994087533,0.022367029265925237
1213,dc_goals,380,0.9415797470759111,0.021852421526762804
1213,dc_shots,380,0.9627131603889834,0.030873810307967015
1213,dc_goals_calibrated,380,0.9438432895877817,0.020418260731831523
1213,dc_goals+shots(wf),380,0.9415797470759111,0.021852421526762804
1213,market+dc(wf),380,0.9398374629222728,0.019984047437287072
1213,_w_shots,380,0.0,
1213,_w_market_dc,380,0.1,
1314,MARKET,380,0.955901382828292,0.019247462254662832
1314,dc_goals,380,0.9720891234990755,0.029479789936215757
1314,dc_shots,380,0.9827539268494746,0.04470394378021604
1314,dc_goals_calibrated,380,0.9724833848353133,0.03606291831917126
1314,dc_goals+shots(wf),380,0.9720891234990755,0.029479789936215757
1314,market+dc(wf),380,0.9543176338191703,0.015609406691377352
1314,_w_shots,380,0.0,
1314,_w_market_dc,380,0.2,
1415,MARKET,380,0.9012445425244552,0.02335569967615238
1415,dc_goals,380,0.9180161933308862,0.022482640940505207
1415,dc_shots,380,0.9394884737449618,0.047213161485391474
1415,dc_goals_calibrated,380,0.9173066094662671,0.019577019423120866
1415,dc_goals+shots(wf),380,0.9181842563986112,0.019400983994719123
1415,market+dc(wf),380,0.9014572943120924,0.025348829945004075
1415,_w_shots,380,0.05,
1415,_w_market_dc,380,0.2,
1516,MARKET,380,0.9271705448833604,0.01975887357571893
1516,dc_goals,380,0.9490580615094286,0.03589317793384719
1516,dc_shots,380,0.9583128006748507,0.039826352717516514
1516,dc_goals_calibrated,380,0.948409449495744,0.03595200080684058
1516,dc_goals+shots(wf),380,0.9485281162139941,0.04047001698090744
1516,market+dc(wf),380,0.9279843961757889,0.023582495878406724
1516,_w_shots,380,0.05,
